"no	grade	word	japanese	description	sentence	japanese_sentence	pos	difficulty	frequency	""[""""年"""",""""月"""",""""週"""",""""日"""",""""時間""""]""	""[""""year"""",""""month"""",""""week"""",""""day"""",""""hour""""]""	""[""""year"""",""""ear"""",""""near"""",""""dear"""",""""yard""""]""	[]	[]"
501380	5	undo	元に戻す	to cancel an action or return something to its earlier state	You can undo the last change on the computer.	コンピューターで最後の変更を元に戻すことができます。	verb	5	3	""[""""元に戻す"""",""""追加する"""",""""選ぶ"""",""""隠す"""",""""運ぶ""""]""	""[""""undo"""",""""add"""",""""choose"""",""""hide"""",""""carry""""]""	""[""""undo"""",""""under"""",""""window"""",""""until"""",""""into""""]""	""[{""""word"""":""""reverse"""",""""note"""":""""結果や向きを逆にする""""}]""	""[{""""word"""":""""do"""",""""note"""":""""する、実行する""""},{""""word"""":""""keep"""",""""note"""":""""そのままにしておく""""}]"""
501381	5	prosperity	繁栄	the state of being successful and having enough money	Peace brought prosperity to the country.	平和がその国に繁栄をもたらした。	noun	7	2	""[""""繁栄"""",""""貧困"""",""""危険"""",""""努力"""",""""発見""""]""	""[""""prosperity"""",""""poverty"""",""""danger"""",""""effort"""",""""discovery""""]""	""[""""prosperity"""",""""property"""",""""properly"""",""""possibility"""",""""priority""""]""	""[{""""word"""":""""success"""",""""note"""":""""より広い意味での成功""""}]""	""[{""""word"""":""""poverty"""",""""note"""":""""お金や資源が足りない状態""""}]"""
501382	5	be abundant in	〜が豊富である	to have a lot of something	This area is abundant in fresh water.	この地域は新鮮な水が豊富である。	verb	7	2	""[""""〜が豊富である"""",""""〜に慣れている"""",""""〜で有名である"""",""""〜に興味がある"""",""""〜で満足している""""]""	""[""""be abundant in"""",""""be used to"""",""""be famous for"""",""""be interested in"""",""""be satisfied with""""]""	""[""""be abundant in"""",""""be confident in"""",""""be interested in"""",""""be involved in"""",""""be successful in""""]""	""[{""""word"""":""""be rich in"""",""""note"""":""""〜を多く含む""""}]""	""[{""""word"""":""""lack"""",""""note"""":""""不足している""""}]"""
501383	5	legitimate	正当な	fair and allowed by law or reason	The company made a legitimate complaint.	その会社は正当な苦情を申し立てた。	adjective	5	3	""[""""正当な"""",""""危険な"""",""""有名な"""",""""複雑な"""",""""静かな""""]""	""[""""legitimate"""",""""dangerous"""",""""famous"""",""""complex"""",""""quiet""""]""	""[""""legitimate"""",""""estimate"""",""""delicate"""",""""limited"""",""""separate""""]""	""[{""""word"""":""""legal"""",""""note"""":""""法律にかなう意味で近い""""},{""""word"""":""""valid"""",""""note"""":""""根拠があって正しい感じ""""}]""	""[{""""word"""":""""illegal"""",""""note"""":""""法律に反する""""},{""""word"""":""""false"""",""""note"""":""""正しくない""""}]"""
501384	5	morality	道徳	beliefs about right and wrong	The story teaches children about morality.	その物語は子どもたちに道徳を教える。	noun	5	3	""[""""道徳"""",""""文化"""",""""歴史"""",""""産業"""",""""制度""""]""	""[""""morality"""",""""culture"""",""""history"""",""""industry"""",""""system""""]""	""[""""morality"""",""""majority"""",""""memory"""",""""material"""",""""modernity""""]""	""[{""""word"""":""""ethics"""",""""note"""":""""ややかたいが近い意味""""}]""	[]"
501385	5	instantly	すぐに	at once; without waiting	She answered the question instantly.	彼女はその質問にすぐに答えた。	adverb	4	4	""[""""すぐに"""",""""静かに"""",""""慎重に"""",""""たまに"""",""""突然""""]""	""[""""instantly"""",""""quietly"""",""""carefully"""",""""sometimes"""",""""suddenly""""]""	""[""""instantly"""",""""intently"""",""""easily"""",""""openly"""",""""softly""""]""	""[{""""word"""":""""immediately"""",""""note"""":""""より一般的で近い意味""""},{""""word"""":""""at once"""",""""note"""":""""句表現""""}]""	""[{""""word"""":""""slowly"""",""""note"""":""""ゆっくりと""""},{""""word"""":""""gradually"""",""""note"""":""""少しずつ""""}]"""
501386	5	be suitable for	〜に適している	to be right or good for something	This book is suitable for beginners.	この本は初心者に適している。	verb	5	3	""[""""〜に適している"""",""""〜を必要とする"""",""""〜に興味がある"""",""""〜で有名である"""",""""〜に参加する""""]""	""[""""be suitable for"""",""""be famous for"""",""""be interested in"""",""""belong to"""",""""depend on""""]""	""[""""be suitable for"""",""""be sorry for"""",""""be ready for"""",""""be famous for"""",""""be careful of""""]""	""[{""""word"""":""""be right for"""",""""note"""":""""よりやさしい言い方""""}]""	""[{""""word"""":""""be wrong for"""",""""note"""":""""合わないという意味""""}]"""
501387	5	appropriate	適切な	right or suitable for a situation	Wear appropriate clothes for the party.	そのパーティーには適切な服を着なさい。	adjective	5	3	""[""""適切な"""",""""危険な"""",""""有名な"""",""""必要な"""",""""特別な""""]""	""[""""appropriate"""",""""dangerous"""",""""famous"""",""""necessary"""",""""special""""]""	""[""""appropriate"""",""""opposite"""",""""approve"""",""""apron"""",""""private""""]""	""[{""""word"""":""""suitable"""",""""note"""":""""よく似た意味""""},{""""word"""":""""proper"""",""""note"""":""""ややかたいが自然""""}]""	""[{""""word"""":""""inappropriate"""",""""note"""":""""不適切な""""}]"""
501388	5	qualification	資格	an ability or official record needed for a job	She has the qualification to teach English.	彼女は英語を教える資格を持っている。	noun	5	2	""[""""資格"""",""""経験"""",""""責任"""",""""才能"""",""""方法""""]""	""[""""qualification"""",""""experience"""",""""responsibility"""",""""talent"""",""""method""""]""	""[""""qualification"""",""""question"""",""""collection"""",""""situation"""",""""education""""]""	""[{""""word"""":""""license"""",""""note"""":""""公的な許可の意味が強い""""}]""	[]"
501389	5	patent	特許	an official right to make or sell a new invention	He got a patent for his new machine.	彼は新しい機械の特許を取った。	noun	5	3	""[""""特許"""",""""契約"""",""""発明"""",""""免許"""",""""証拠""""]""	""[""""patent"""",""""license"""",""""contract"""",""""invention"""",""""evidence""""]""	""[""""patent"""",""""parent"""",""""patient"""",""""present"""",""""planet""""]""	[]	[]"
501390	5	ownership	所有	the state of having something as yours	The ownership of the land changed last year.	その土地の所有者は昨年変わった。	noun	5	3	""[""""所有"""",""""管理"""",""""使用"""",""""販売"""",""""共有""""]""	""[""""ownership"""",""""management"""",""""use"""",""""sale"""",""""sharing""""]""	""[""""ownership"""",""""owner"""",""""leadership"""",""""membership"""",""""friendship""""]""	[]	[]"
501391	5	surge	急増	a sudden strong increase	There was a surge in online shopping.	オンラインショッピングが急増した。	noun	5	3	""[""""急増"""",""""減少"""",""""変化"""",""""移動"""",""""回復""""]""	""[""""surge"""",""""decline"""",""""change"""",""""movement"""",""""recovery""""]""	""[""""surge"""",""""search"""",""""serve"""",""""stage"""",""""sort""""]""	""[{""""word"""":""""increase"""",""""note"""":""""より広い意味の「増加」""""},{""""word"""":""""rise"""",""""note"""":""""一般的な「上昇・増加」""""}]""	""[{""""word"""":""""decline"""",""""note"""":""""減少すること""""},{""""word"""":""""drop"""",""""note"""":""""急な下がり方""""}]"""
501392	5	stake	賭け金	money risked in a game or bet	He lost his stake in the card game.	彼はカードゲームで賭け金を失った。	noun	5	3	""[""""賭け金"""",""""給料"""",""""運賃"""",""""税金"""",""""料金""""]""	""[""""stake"""",""""salary"""",""""fare"""",""""tax"""",""""fee""""]""	""[""""stake"""",""""state"""",""""steak"""",""""stick"""",""""snake""""]""	""[{""""word"""":""""bet"""",""""note"""":""""より一般的な語""""}]""	[]"
501393	5	toll	通行料	money paid to use a road or bridge	We paid a toll to cross the bridge.	私たちはその橋を渡るために通行料を払った。	noun	5	4	""[""""通行料"""",""""運賃"""",""""家賃"""",""""税金"""",""""給料""""]""	""[""""toll"""",""""fare"""",""""rent"""",""""tax"""",""""salary""""]""	""[""""toll"""",""""tall"""",""""tool"""",""""told"""",""""top""""]""	""[{""""word"""":""""fee"""",""""note"""":""""より広い意味の料金""""}]""	[]"
501394	5	geology	地質学	the study of rocks and the earth	She studies geology at college.	彼女は大学で地質学を勉強している。	noun	5	2	""[""""地質学"""",""""生物学"""",""""化学"""",""""物理学"""",""""天文学""""]""	""[""""geology"""",""""biology"""",""""chemistry"""",""""physics"""",""""astronomy""""]""	""[""""geology"""",""""geometry"""",""""geography"""",""""biology"""",""""technology""""]""	[]	[]"
501395	5	bar	棒	a long straight piece of metal, wood, or other material	He lifted the heavy iron bar.	彼は重い鉄の棒を持ち上げた。	noun	5	3	""[""""棒"""",""""板"""",""""ひも"""",""""管"""",""""輪""""]""	""[""""bar"""",""""board"""",""""rope"""",""""pipe"""",""""ring""""]""	""[""""bar"""",""""car"""",""""far"""",""""park"""",""""barn""""]""	""[{""""word"""":""""rod"""",""""note"""":""""細長い棒""""}]""	[]"
501396	5	workshop	作業場	a place where people make or repair things	My grandfather works in his workshop.	私の祖父は自分の作業場で働いています。	noun	5	2	""[""""作業場"""",""""教室"""",""""工場"""",""""倉庫"""",""""事務所""""]""	""[""""workshop"""",""""classroom"""",""""factory"""",""""warehouse"""",""""office""""]""	""[""""workshop"""",""""worksheet"""",""""workman"""",""""worship"""",""""wardrobe""""]""	[]	[]"
501397	5	chamber	部屋	a room, especially a private one	The king waited in a small chamber.	王は小さな部屋で待っていた。	noun	6	2	""[""""部屋"""",""""廊下"""",""""庭"""",""""屋根裏"""",""""地下室""""]""	""[""""chamber"""",""""hallway"""",""""garden"""",""""attic"""",""""basement""""]""	""[""""chamber"""",""""changer"""",""""danger"""",""""member"""",""""number""""]""	""[{""""word"""":""""room"""",""""note"""":""""より一般的な語""""}]""	[]"
501398	5	basement	地下室	a room under a house or building	We keep old boxes in the basement.	私たちは地下室に古い箱を置いています。	noun	5	3	""[""""地下室"""",""""屋根裏"""",""""廊下"""",""""台所"""",""""庭""""]""	""[""""basement"""",""""attic"""",""""hallway"""",""""kitchen"""",""""garden""""]""	""[""""basement"""",""""pavement"""",""""payment"""",""""patient"""",""""statement""""]""	[]	[]"
501399	5	cellar	地下貯蔵室	an underground room for storing things	The apples are kept in the cellar.	そのりんごは地下貯蔵室に保管されています。	noun	6	2	""[""""地下貯蔵室"""",""""物置"""",""""屋根裏"""",""""廊下"""",""""車庫""""]""	""[""""cellar"""",""""storage"""",""""attic"""",""""hallway"""",""""garage""""]""	""[""""cellar"""",""""seller"""",""""color"""",""""solar"""",""""sailor""""]""	[]	[]"
501400	5	draft	下書き	a first rough piece of writing	She showed me the first draft of her speech.	彼女はスピーチの最初の下書きを私に見せました。	noun	6	3	""[""""下書き"""",""""答え"""",""""題名"""",""""段落"""",""""表紙""""]""	""[""""draft"""",""""answer"""",""""title"""",""""paragraph"""",""""cover""""]""	""[""""draft"""",""""craft"""",""""drift"""",""""graft"""",""""shaft""""]""	""[{""""word"""":""""outline"""",""""note"""":""""より簡単な計画や要点""""}]""	""[{""""word"""":""""final"""",""""note"""":""""完成したもの""""}]"""
501401	5	harsh	厳しい	very strict or unpleasant	The teacher was harsh with late students.	その先生は遅刻した生徒に厳しかった。	adjective	5	3	""[""""厳しい"""",""""やさしい"""",""""静かな"""",""""明るい"""",""""安全な""""]""	""[""""harsh"""",""""kind"""",""""quiet"""",""""bright"""",""""safe""""]""	""[""""harsh"""",""""hush"""",""""heart"""",""""horse"""",""""hash""""]""	""[{""""word"""":""""strict"""",""""note"""":""""ruleや態度が厳しい""""}]""	""[{""""word"""":""""gentle"""",""""note"""":""""やさしく穏やか""""},{""""word"""":""""kind"""",""""note"""":""""親切で厳しくない""""}]"""
501402	5	circular	円形の	shaped like a circle	We sat at a circular table.	私たちは円形のテーブルに座った。	adjective	5	2	""[""""円形の"""",""""四角い"""",""""長い"""",""""重い"""",""""細い""""]""	""[""""circular"""",""""square"""",""""long"""",""""heavy"""",""""thin""""]""	""[""""circular"""",""""similar"""",""""singular"""",""""popular"""",""""regular""""]""	""[{""""word"""":""""round"""",""""note"""":""""より基本的な語""""}]""	""[{""""word"""":""""square"""",""""note"""":""""四角い形の""""}]"""
501403	5	sphere	球体	a round solid shape like a ball	The Earth is a sphere.	地球は球体です。	noun	5	2	""[""""球体"""",""""立方体"""",""""円"""",""""線"""",""""角""""]""	""[""""sphere"""",""""cube"""",""""circle"""",""""line"""",""""angle""""]""	""[""""sphere"""",""""spear"""",""""spare"""",""""stair"""",""""square""""]""	""[{""""word"""":""""ball"""",""""note"""":""""日常的な言い方""""}]""	[]"
501404	5	scrape	こする	to rub something hard against a surface	Be careful not to scrape the wall.	壁をこすらないように気をつけて。	verb	5	3	""[""""こする"""",""""たたく"""",""""ひっぱる"""",""""まげる"""",""""おす""""]""	""[""""scrape"""",""""strike"""",""""pull"""",""""bend"""",""""push""""]""	""[""""scrape"""",""""shape"""",""""screen"""",""""sleep"""",""""stripe""""]""	""[{""""word"""":""""rub"""",""""note"""":""""より一般的に「こする」""""}]""	[]"
